schoolnames,schoolurls,schoolwins,year,games,overallwins,overalllosses,winlosspct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate0
Pennsylvania,https://www.sports-reference.com/cbb/schools/pennsylvania/1994.html,1,1994,28,25,3,0.893,5.95,-5.12,14,0,,,,,2139,1799,,,0.352,0.346,0.54,50.5,54.3,,7.6,0.505,14.8,,0.25
Pepperdine,https://www.sports-reference.com/cbb/schools/pepperdine/1994.html,0,1994,30,19,11,0.633,9.23,2.62,8,6,,,,,2175,1935,,,0.358,0.247,0.543,52.7,58.9,,8.8,0.521,17.6,,0.23
Providence,https://www.sports-reference.com/cbb/schools/providence/1994.html,0,1994,30,20,10,0.667,19.28,9.95,10,8,,,,,2379,2099,,,0.425,0.218,0.54,53.7,61.8,,7.8,0.5,15.9,,0.299
Purdue,https://www.sports-reference.com/cbb/schools/purdue/1994.html,3,1994,34,29,5,0.853,21.28,9.9,14,4,,,,,2871,2484,,,0.33,0.289,0.554,52.6,55.8,,6.6,0.525,15.4,,0.232
Rider,https://www.sports-reference.com/cbb/schools/rider/1994.html,0,1994,30,21,9,0.7,-0.83,-6.23,14,4,,,,,2280,2118,,,0.422,0.203,0.558,50.5,55.7,,9.2,0.532,18.6,,0.274
Saint Louis,https://www.sports-reference.com/cbb/schools/saint-louis/1994.html,0,1994,29,23,6,0.793,12.78,3.13,8,4,,,,,2337,2035,,,0.361,0.371,0.565,48.8,62.5,,2.9,0.534,15.2,,0.256
Seton Hall,https://www.sports-reference.com/cbb/schools/seton-hall/1994.html,0,1994,30,17,13,0.567,13.67,10.77,8,10,,,,,2059,1972,,,0.46,0.348,0.504,51.5,52.7,,12.2,0.457,17.6,,0.313
Southern Illinois,https://www.sports-reference.com/cbb/schools/southern-illinois/1994.html,0,1994,30,23,7,0.767,7.09,0.37,14,4,,,,,2371,2126,,,0.405,0.232,0.559,53.2,56,,7.6,0.53,17.4,,0.274
Syracuse,https://www.sports-reference.com/cbb/schools/syracuse/1994.html,2,1994,30,23,7,0.767,17.93,8.86,13,5,,,,,2517,2248,,,0.333,0.234,0.545,51.7,52.8,,12,0.513,16.4,,0.238
Temple,https://www.sports-reference.com/cbb/schools/temple/1994.html,1,1994,31,23,8,0.742,17.37,8.34,12,4,,,,,1977,1697,,,0.347,0.27,0.492,51.6,43.6,,10.9,0.462,11.7,,0.222
